ds,Open,High,Low,Close,y,Volume
15-09-2011,242.949997,244.024994,235.800003,242.324997,218.767639,4368380
16-09-2011,243.125,245,238.149994,241.850006,218.338791,5473504
19-09-2011,240.949997,243.5,238.550003,242.375,218.812775,4194610
20-09-2011,242.5,246.625,241.5,245.675003,221.791977,5917634
21-09-2011,246.375,248.824997,244.199997,247.25,223.213852,6445698
22-09-2011,243.949997,244.5,232.75,236.149994,213.192932,5095544
23-09-2011,234.274994,235,226.25,228.199997,206.015778,16455612
26-09-2011,228,228.824997,219.725006,225.050003,203.171997,13892534
27-09-2011,229,230.949997,227.050003,228.725006,206.489746,8011418
28-09-2011,231.199997,232.675003,225.875,229,206.737991,7611876
29-09-2011,228.774994,237.399994,226.324997,235.300003,212.425583,16266492
30-09-2011,232.925003,237.399994,232.199997,233.824997,211.093948,9514400
03-10-2011,230.074997,232.449997,225.375,228.024994,205.857803,9068118
04-10-2011,226.25,228,220.25,224.449997,202.630325,7481596
05-10-2011,224.475006,228.125,218.274994,219.350006,198.026138,8267496
07-10-2011,226.350006,230,223.100006,225,203.126862,9443502
10-10-2011,226,229,225.024994,227.350006,205.248413,12062992
11-10-2011,230.350006,232.449997,227.574997,228.75,206.512299,4993758
12-10-2011,230.975006,234.949997,226.725006,233.574997,210.86824,8967780
13-10-2011,237.5,238.100006,233.800003,235.324997,212.448105,5866702
14-10-2011,234.5,238.199997,232.675003,236.949997,213.915146,3335020
17-10-2011,238.300003,240.25,236.175003,239.024994,215.788422,3543632
18-10-2011,236.949997,240.699997,236,239.074997,215.833588,4054510
19-10-2011,241.475006,247.300003,239.649994,245.925003,222.017654,8689042
20-10-2011,244,246.199997,240.300003,244.774994,220.979446,5676852
21-10-2011,245.024994,245.899994,241.649994,243.5,219.82843,4580732
24-10-2011,246.375,248.5,241.475006,242.175003,218.632202,4871546
25-10-2011,243.925003,245.375,224.274994,234,211.251953,41315010
28-10-2011,243,247.25,239.875,241.324997,217.864853,9019224
31-10-2011,241.5,245.875,238.574997,245,221.182587,6425708
01-11-2011,242.550003,246.5,240,241.149994,217.706863,6649758
02-11-2011,239.350006,244,238.75,241.550003,218.067978,5055910
03-11-2011,240.5,242.425003,236.050003,240.925003,217.503723,5252818
04-11-2011,243.350006,243.949997,240.149994,241.5,218.022827,3401610
08-11-2011,241.5,243.675003,239.25,242.125,218.587082,4196404
09-11-2011,242.5,242.850006,237.649994,238.625,215.427322,4302494
11-11-2011,237.824997,239.199997,231.300003,232.024994,209.468948,4605018
